slug,Company_make,cas_number,smiles,inchi,inchi_key,iupac_name,molecular_formula,molecular_weight,purity,product_type,availability,product_name,image_url,lead_time,pubchem_cid,synonyms,Lot_number,manufacture_date,expiry_date
2-Hydroxy Atropine,Sunveda Ready,NA,,,,"(1R,3r,5S)-8-methyl-8-azabicyclo[3.2.1]octan-3-yl 3-hydroxy-2-(2-hydroxyphenyl)propanoate",,,99%,API Impurity,Enquiry,,,14 days,,,,12/04/2026,
3-Hydroxy Atropine,Sunveda Ready,NA,,,,"(1R,3r,5S)-8-methyl-8-azabicyclo[3.2.1]octan-3-yl 3-hydroxy-2-(3-hydroxyphenyl)propanoate",,,99%,API Impurity,Enquiry,,,14 days,,,,12/04/2026,
"N,N'-Diacetyl-L-lanthionine",Sunveda Ready,NA,,,,"(2R,2'R)-3,3'-thiobis(2-acetamidopropanoic acid)",,,99%,API Impurity,Enquiry,,,14 days,,,,12/04/2026,
Acyclovir Impurity-K (EP/BP),Sunveda Ready,1797131-64-6,,"InChI=1S/C17H22N10O6/c28-1-3-32-8-26-6-20-10-12(26)22-16(24-14(10)30)18-5-19-17-23-13-11(15(31)25-17)21-7-27(13)9-33-4-2-29/h6-7,28-29H,1-5,8-9H2,(H2,18,22,24,30)(H2,19,23,25,31)",DHOYYKLYLLHMRJ-UHFFFAOYSA-N,"2,2?-(Methylenediimino)bis[9-[(2-hydroxyethoxy)methyl]-1,9-dihydro-6H-purin-6-one]",C17H22N10O6,462.4,99%,API Impurity,Enquiry,,/compound_images/Acyclovir Impurity-K (EP/BP).png,7 days,135566015,"1797131-64-6; Acyclovir N-Methylene Dimer; Bis-acyclovir; Acyclovir N-Methylene Dimer (>90%); 2,2'-(methylenebis(azanediyl))bis(9-((2-hydroxyethoxy)methyl)-1H-purin-6(9H)-one); N2,N2'-Methylenediaciclovir; Aciclovir impurity K [WHO-IP]; X3N7OW6992; 9-(2-hydroxyethoxymethyl)-2-[[[9-(2-hydroxyethoxymethyl)-6-oxo-1H-purin-2-yl]amino]methylamino]-1H-purin-6-one; Acyclovir Impurity K",,12/04/2026,
Aprepitant Impurity 2,Sunveda Ready,171338-33-3,,"InChI=1S/C20H19F6NO2/c1-12(14-9-15(19(21,22)23)11-16(10-14)20(24,25)26)29-18-17(27-7-8-28-18)13-5-3-2-4-6-13/h2-6,9-12,17-18,27H,7-8H2,1H3/t12-,17+,18-/m1/s1",UTDANMPTVJPQFZ-OCBCSQNSSA-N,"(2R,3S)-2-((R)-1-(3,5-Bis(trifluoromethyl)phenyl)ethoxy)-3-phenylmorpholine",C20H19F6NO2,419.4,99%,API Impurity,Enquiry,,/compound_images/Aprepitant Impurity 2.png,7 days,10645742,"171338-33-3; 2-(R)-(1-(R)-(3,5-bis(trifluoromethyl)phenyl)ethoxy)-3-(S)-phenyl morpholine, (2R,3S)-2-[(1R)-1-[3,5-bis(trifluoromethyl)phenyl]ethoxy]-3-phenylmorpholine; Aprepitant Impurity 34; (2R,3S)-2-((R)-1-(3,5-Bis(trifluoromethyl)phenyl)ethoxy)-3-phenylmorpholine,; Morpholine, 2-[(1R)-1-[3,5-bis(trifluoromethyl)phenyl]ethoxy]-3-phenyl-,(2R,3S)-, (2R,3S)-2-{(1R)-1-[3,5-Bis(trifluoromethyl)phenyl]ethoxy}-3-phenylmorpholine; NAJ5853ECR; SCHEMBL7019973; DTXSID50442931",,12/04/2026,
Aprepitant Impurity 3,Sunveda Ready,287930-75-0,,"InChI=1S/C21H19F6NO3/c1-13(15-9-16(20(22,23)24)11-17(10-15)21(25,26)27)31-19-18(29)28(7-8-30-19)12-14-5-3-2-4-6-14/h2-6,9-11,13,19H,7-8,12H2,1H3/t13-,19-/m1/s1",KVPJNHLVRGUYGQ-BFUOFWGJSA-N,"(R)-4-Benzyl-2-((R)-1-(3,5-bis(trifluoromethyl)phenyl)ethoxy)morpholin-3-one",C21H19F6NO3,447.4,99.90%,API Impurity,Enquiry,,/compound_images/Aprepitant Impurity 3.png,5 days,10225642,"287930-75-0; (2R)-4-benzyl-2-[(1R)-1-[3,5-bis(trifluoromethyl)phenyl]ethoxy]morpholin-3-one; (R)-4-benzyl-2-((R)-1-(3,5-bis(trifluoromethyl)phenyl)ethoxy)morpholin-3-one; MFCD22494935; 3-Morpholinone, 2-[(1R)-1-[3,5-bis(trifluoromethyl)phenyl]ethoxy]-4-(phenylmethyl)-; (2R)-, (2R)-4-BENZYL-2-{(1R)-1-[3,5-BIS(TRIFLUOROMETHYL)PHENYL]ETHOXY}MORPHOLIN-3-ONE; (R) -4-benzyl-2-((R)-1-(3,5-bis(trifluoromethyl)phenyl) ethoxy) morpholin-3-one; (R)-4-BENZYL-2-((R)-1-(3,5-BIS(TRIFLUOROMETHYL)-PHENYL)ETHOXY)MORPHOLIN-3-ONE; KVPJNHLVRGUYGQ-BFUOFWGJSA-N",,12/04/2026,
Atropine,,,,,,,,,95%,API,In Stock,,,6 days,,,,12/04/2026,
Aprepitant,,,,,,,,,95%,API,In Stock,,,7 days,,,,,
Acetylcysteine,,,,,,,,,95%,API,In Stock,,,8 days,,,,,
Acyclovir,,,,,,,,,95%,API,In Stock,,,9 days,,,,,
1s-2s-6r-7r-4-azatricyclo-5-2-1-02-6-decane-3-5-dione,Sunveda Ready,,,"InChI=1S/C9H11NO2/c11-8-6-4-1-2-5(3-4)7(6)9(12)10-8/h4-7H,1-3H2,(H,10,11,12)/t4-,5+,6-,7+",RIVOBMOBWMOLDJ-UMRXKNAASA-N,"(1S,2S,6R,7R)-4-azatricyclo[5.2.1.02,6]decane-3,5-dione",C9H11NO2,165.19,95%,API Impurity,In Stock,"(1S,2S,6R,7R)-4-azatricyclo[5.2.1.02,6]decane-3,5-dione",/compound_images/1s-2s-6r-7r-4-azatricyclo-5-2-1-02-6-decane-3-5-dione.png,3-5 days,15581983,"(3aR,4R,7S,7aS)-hexahydro-1H-4,7-methanoisoindole-1,3(2H)-dione; DTXSID00574852; RefChem:1050144; DTXCID20525624; 28871-95-6; endo-2,3-Norbornanedicarboximide; 1807983-67-0; endo-Hexahydro-1H-4,7-methanoisoindole-1,3(2H)-dione",,,
1r-2s-6r-7s-4-azatricyclo-5-2-1-02-6-decane-3-5-dione,Sunveda Ready,,,"InChI=1S/C9H11NO2/c11-8-6-4-1-2-5(3-4)7(6)9(12)10-8/h4-7H,1-3H2,(H,10,11,12)/t4-,5+,6+,7-",RIVOBMOBWMOLDJ-RNGGSSJXSA-N,"(1R,2S,6R,7S)-4-azatricyclo[5.2.1.02,6]decane-3,5-dione",C9H11NO2,165.19,95%,API Impurity,In Stock,"(1R,2S,6R,7S)-4-azatricyclo[5.2.1.02,6]decane-3,5-dione",/compound_images/1r-2s-6r-7s-4-azatricyclo-5-2-1-02-6-decane-3-5-dione.png,3-5 days,10749555,"(3aR,4S,7R,7aS)-Hexahydro-1H-4,7-methanoisoindole-1,3(2H)-dione; DTXSID10444279; RefChem:1050148; DTXCID00395100; 14805-29-9; exo-Hexahydro-1H-4,7-methanoisoindole-1,3(2H)-dione; MFCD12964181; (3AR,4S,7R,7AS) 4,7-METHANO-1H-ISOINDOLE-1,3(2H)-DIONE",,,
